拍位置,Tick,テンポ,絶対時間
82.3.0,156480,120.0,163.0
82.4.0,156960,120.0,163.5
83.1.0,157440,120.0,164.0
83.2.0,157920,120.0,164.5
83.3.0,158400,120.0,165.0
83.4.0,158880,120.0,165.5
84.1.0,159360,120.0,166.0
84.2.0,159840,120.0,166.5
84.3.0,160320,120.0,167.0
84.4.0,160800,120.0,167.5
85.1.0,161280,120.0,168.0
85.2.0,161760,120.0,168.5
85.3.0,162240,120.0,169.0
85.4.0,162720,120.0,169.5
86.1.0,163200,120.0,170.0
86.2.0,163680,120.0,170.5
86.3.0,164160,120.0,171.0
86.4.0,164640,120.0,171.5
87.1.0,165120,120.0,172.0
87.2.0,165600,120.0,172.5
87.3.0,166080,120.0,173.0
87.4.0,166560,120.0,173.5
88.1.0,167040,120.0,174.0
88.2.0,167520,120.0,174.5
88.3.0,168000,120.0,175.0
88.4.0,168480,120.0,175.5
89.1.0,168960,120.0,176.0
89.2.0,169440,120.0,176.5
89.3.0,169920,120.0,177.0
89.4.0,170400,120.0,177.5
90.1.0,170880,120.0,178.0
90.2.0,171360,120.0,178.5
90.3.0,171840,120.0,179.0
90.4.0,172320,120.0,179.5
91.1.0,172800,120.0,180.0
91.2.0,173280,120.0,180.5
91.3.0,173760,120.0,181.0
91.4.0,174240,120.0,181.5
92.1.0,174720,120.0,182.0
92.2.0,175200,120.0,182.5
92.3.0,175680,120.0,183.0
92.4.0,176160,120.0,183.5
93.1.0,176640,120.0,184.0
93.2.0,177120,120.0,184.5
93.3.0,177600,120.0,185.0
93.4.0,178080,120.0,185.5
94.1.0,178560,120.0,186.0
94.2.0,179040,120.0,186.5
94.3.0,179520,120.0,187.0
94.4.0,180000,120.0,187.5
95.1.0,180480,120.0,188.0
95.2.0,180960,120.0,188.5
95.3.0,181440,120.0,189.0
95.4.0,181920,120.0,189.5
96.1.0,182400,120.0,190.0
96.2.0,182880,120.0,190.5
96.3.0,183360,120.0,191.0
96.4.0,183840,120.0,191.5
97.1.0,184320,120.0,192.0
97.2.0,184800,120.0,192.5
97.3.0,185280,120.0,193.0
97.4.0,185760,120.0,193.5
98.1.0,186240,120.0,194.0
98.2.0,186720,120.0,194.5
98.3.0,187200,120.0,195.0
98.4.0,187680,120.0,195.5
99.1.0,188160,120.0,196.0
99.2.0,188640,120.0,196.5
99.3.0,189120,120.0,197.0
99.4.0,189600,120.0,197.5
100.1.0,190080,120.0,198.0
100.2.0,190560,120.0,198.5
100.3.0,191040,120.0,199.0
100.4.0,191520,120.0,199.5
101.1.0,192000,120.0,200.0
101.2.0,192480,120.0,200.5
101.3.0,192960,120.0,201.0
101.4.0,193440,120.0,201.5
102.1.0,193920,120.0,202.0
102.2.0,194400,120.0,202.5
102.3.0,194880,120.0,203.0
102.4.0,195360,120.0,203.5
103.1.0,195840,120.0,204.0
103.2.0,196320,120.0,204.5
103.3.0,196800,120.0,205.0
103.4.0,197280,120.0,205.5
104.1.0,197760,120.0,206.0
104.2.0,198240,120.0,206.5
104.3.0,198720,120.0,207.0
104.4.0,199200,120.0,207.5
105.1.0,199680,120.0,208.0
105.2.0,200160,120.0,208.5
105.3.0,200640,120.0,209.0
105.4.0,201120,120.0,209.5
106.1.0,201600,120.0,210.0
106.2.0,202080,120.0,210.5
106.3.0,202560,120.0,211.0
106.4.0,203040,120.0,211.5
107.1.0,203520,120.0,212.0
107.2.0,204000,120.0,212.5
107.3.0,204480,120.0,213.0
107.4.0,204960,120.0,213.5
108.1.0,205440,120.0,214.0
108.2.0,205920,120.0,214.5
108.3.0,206400,120.0,215.0
108.4.0,206880,120.0,215.5
109.1.0,207360,120.0,216.0
109.2.0,207840,120.0,216.5
109.3.0,208320,120.0,217.0
109.4.0,208800,120.0,217.5
110.1.0,209280,120.0,218.0
110.2.0,209760,120.0,218.5
110.3.0,210240,120.0,219.0
110.4.0,210720,120.0,219.5
111.1.0,211200,120.0,220.0
111.2.0,211680,120.0,220.5
111.3.0,212160,120.0,221.0
111.4.0,212640,120.0,221.5
112.1.0,213120,120.0,222.0
112.2.0,213600,120.0,222.5
112.3.0,214080,120.0,223.0
112.4.0,214560,120.0,223.5
